MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
020OrderingIssue,0010,arr[hy]*?the?mi?as?\b,ARRHYTHMIA,,,,2022,9999,25/07/2023,NA,,,Common misspelling (needs to come first to avoid an incorrect fix for '-emai-,,
020OrderingIssue,0020,\bleft-,LEFT ,,,,2022,9999,25/07/2023,NA,,,Replace dash with space,,
020OrderingIssue,0030,\bright-,RIGHT ,,,,2022,9999,25/07/2023,NA,,,Replace dash with space,,
030FirstFix,0040,\b(culture|gram|triple)-(negative|positive)\b,$1 $2,,,,2022,9999,18/03/2025,NA,,,Remove the hyphen to standardise,,
030FirstFix,0050,\b(.*)([^a])emia\b,$1$2AEMIA,,,,2022,9999,25/07/2023,NA,,,Replace any -emia to -aemia (skipping those that are already -aemia),,
030FirstFix,0060,\b(.*)([^at])emic\b,$1$2AEMIC,,,,2022,9999,25/07/2023,NA,,,"Replace any -emic to -aemic (skipping those that are already -aemic, and avoiding systemic)",,
030FirstFix,0070,\b(B|T) cell\b,$1-CELL,,,,2022,9999,08/11/2023,NA,,NA,Standardise on hyphenated form (more generic form),,
030FirstFix,0080,\ba(cc)?quired\b,ACQUIRED,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0090,"\bacute[\s-](on|and)?[\s-]?chronic ([^,\n]*)","ACUTE $2, CHRONIC $2",,,,2022,9999,07/08/2023,NA,,,"Splits acute on chronic conditions to ""acute condition, chronic condition"". Uses a comma or new line to identify the end of 'condition', which is imperfect but good enough",,
030FirstFix,0100,\badvance\b,ADVANCED,,,,2022,9999,25/07/2023,NA,,,"The word 'advance' is not used in ICD-11, always 'advanced'",,
030FirstFix,0110,\ba?ei?tr?[eio]+logy\b,AETIOLOGY,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0120,\bal?ze?h?[ei]*mer'?s'?\b,ALZHEIMER,,,,2022,9999,25/07/2023,NA,,,"Simplify plural to singular, and some optional characters and spellings",,
030FirstFix,0130,&,AND,,,,2022,9999,30/11/2023,NA,,,&'s just increase confusion (experimental),,
030FirstFix,0140,\baneur[isy]+m\b,ANEURYSM,,,,2022,9999,21/11/2023,NA,,,Common misspelling,,
030FirstFix,0150,"\bap[aeno]{2,4}\b",APNOEA,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0160,\bathero?sc?[il][eo]ro[st]i[cs]\b,ATHEROSCLEROSIS,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0170,\bat?r[ai]*l\b,ATRIAL,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0180,\bB cell\b,B-CELL,,,,2022,2022,08/11/2023,NA,25/02/2025,NA,Removed to make more generic,,
030FirstFix,0190,\bbilary\b,BILARY,,,,2022,2022,18/10/2023,NA,07/03/2024,NA,Common misspelling. Removed to fix typo,,
030FirstFix,0200,\bbilary\b,BILIARY,,,,2022,9999,07/03/2024,NA,,,Common misspelling. Added to fix typo,,
030FirstFix,0210,\bbrian\b,BRAIN,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0220,\bbrain.stem\b,BRAINSTEM,,,,2022,9999,21/11/2023,NA,,,Standardise on one word,,
030FirstFix,0230,\bbronchi[ae]c?t[aeo]sis\b,BRONCHIECTASIS,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0240,\bcarinoma\b,CARCINOMA,,,,2022,9999,19/02/2024,NA,,,Common misspelling,,
030FirstFix,0250,\bcardio.pulmonary\b,CARDIOPULMONARY,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0260,\bcardio.renal\b,CARDIORENAL,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0270,\bcardio.respiratory\b,CARDIORESPIRATORY,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0280,\bcardio.vascular\b,CARDIOVASCULAR,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0290,\bcere?bro[-\s]+vascular\b,CEREBROVASCULAR,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
030FirstFix,0300,\bch(ro|or)i?[mn]ic?\b,CHRONIC,,,,2022,9999,25/07/2023,NA,,,Common misspelling,,
