ID,Icd1,Icd2,DiagnosisText,Comments,Likelihood,Prompt,MuseFlags,CodingFlag,OKForMultipleCodes,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut
1,1A04,1A05,Clostridium Difficile,,,,,,,2022,9999,13/10/2023,NA,,
2,1A04,,Clostridium Difficile Colitis,,,,,,,2022,9999,13/10/2023,NA,,
3,1A04,,Clostridium Difficile Diarrhoea,,,,,,,2022,9999,13/10/2023,NA,,
4,1A04,,Clostridium Difficile Gastroenteritis,,,,,,,2022,9999,13/10/2023,NA,,
5,1A04,,Clostridium Difficile Infection,,,,,,,2022,9999,13/10/2023,NA,,
6,1A06,,Campylobacter Enteritis,,,,,,,2022,9999,13/10/2023,NA,,
7,1A06,,Campylobacter Gastroenteritis,,,,,,,2022,9999,13/10/2023,NA,,
3201,1A23,,Norovirus,,,,,,,2022,9999,19/02/2025,NA,,
3244,1A23,,Norovirus Infection ,,,,,,,2022,9999,14/03/2025,NA,,
8,1A2Z,,Viral Gastroenteritis,,,,,,,2022,9999,13/10/2023,NA,,
9,1A400,,Colitis,,,,,,,2022,2022,13/10/2023,NA,19/12/2023,NA
10,1A400,,Gastroenteritis,,,,,,,2022,9999,13/10/2023,NA,,
11,1A400&XA03U9,,Colitis,,,,,,,2022,9999,19/12/2023,NA,,
12,1A400&XA03U9,,Stercoral Colitis,,,,,,,2022,9999,05/02/2024,NA,,
13,1A400&XA03U9&XT5R,,Acute Colitis,,,,,,,2022,9999,19/12/2023,NA,,
14,1A40Z,,Acute Gastroenteritis,,,,,,,2022,9999,13/10/2023,NA,,
15,1A40Z,,Enterocolitis,,,,,,,2022,9999,13/10/2023,NA,,
16,1A40Z,,Infective Colitis,,,,,,,2022,9999,13/10/2023,NA,,
17,1B10Z,,Pulmonary Tuberculosis,,,,,,,2022,9999,13/10/2023,NA,,
18,1B13Z,,Miliary Tuberculosis,,,,,,,2022,9999,06/12/2023,NA,,
19,1B1Z,,TB,,,,,,,2022,9999,13/10/2023,NA,,
20,1B1Z,,Tuberculosis,,,,,,,2022,9999,13/10/2023,NA,,
21,1B53,,Pneumococcal Meningitis,,,,,,,2022,9999,13/10/2023,NA,,
22,1B70Z,,Abdominal Wall Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
23,1B70Z,,Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
24,1B70Z&XA45A6,,Cellulitis Leg,,,,,,,2022,9999,13/10/2023,NA,,
